                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3523,                 1.3904,                 1.2071,                0.57024,                0.73057,                0.67287,                0.42461,                 1.2023,                 1.0119,                 1.1058,               0.070025,              0.0033305,              0.0033305
                      1,                 1.2843,                 1.1071,                 1.1615,                0.56814,                0.75017,                0.69988,                0.44273,                 1.2121,                0.99192,                  1.136,               0.039366,              0.0060041,              0.0060041
                      2,                 1.3094,                 1.1117,                 1.1929,                 0.5959,                0.70474,                0.67907,                0.42181,                 1.2439,                 1.0376,                 1.1567,              0.0080459,              0.0080177,              0.0080177
                      3,                  1.308,                 1.1081,                 1.1944,                0.61145,                0.72486,                0.70734,                0.44501,                 1.2264,                  0.973,                 1.1652,                0.00703,                0.00703,                0.00703
                      4,                 1.2839,                 1.0577,                 1.1922,                0.61926,                0.72489,                0.71213,                0.45356,                 1.2108,                0.95291,                 1.1565,                0.00703,                0.00703,                0.00703
                      5,                 1.2599,                 1.0173,                 1.1799,                0.60446,                 0.7618,                0.73201,                0.46602,                 1.1986,                0.92804,                 1.1393,                0.00604,                0.00604,                0.00604
                      6,                 1.2303,                0.97382,                 1.1717,                0.64257,                0.75437,                0.74957,                0.48046,                 1.1795,                0.88305,                 1.1447,                0.00505,                0.00505,                0.00505
                      7,                 1.2068,                0.94232,                 1.1561,                0.64841,                0.74316,                 0.7497,                0.48525,                  1.174,                0.87699,                 1.1347,                0.00406,                0.00406,                0.00406
                      8,                 1.1856,                0.90709,                 1.1458,                0.64497,                0.75739,                0.75794,                0.49286,                 1.1568,                0.85865,                 1.1323,                0.00307,                0.00307,                0.00307
                      9,                 1.1649,                0.87278,                 1.1317,                0.65896,                0.74746,                0.76389,                0.49621,                 1.1549,                0.84226,                  1.131,                0.00208,                0.00208,                0.00208
